Model,Prompts_Tested,Avg_Accuracy,Avg_Kappa,Best_Kappa,Total_Utterances,Run_Name,Sample_Type,Analysis_Time
anthropic.claude-4.5-opus,4,0.7547646221733016,0.5234457101921897,0.583210133354691,40010,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
google.gemini-3-pro-preview,4,0.73969105702503,0.5040468929539853,0.5364453202556485,39423,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
openai.gpt-5,4,0.7275510204081632,0.49079794489706585,0.5098593057972663,42140,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
google.gemini-2.5-pro,4,0.731420006051727,0.47458653164535725,0.5700325805539466,41676,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
openai.o3,4,0.7020789371522557,0.466311311375244,0.4777790069050349,42115,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
anthropic.claude-4.5-sonnet,4,0.7221253215405048,0.4625175438039647,0.5192786165626585,42093,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
