Prompt,Model,Code,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Revoicing,0.023376520038027978,0.2641203739518936,0.3576708322216028
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Pressing for Accuracy,0.012489972914814688,0.6240016380993937,0.671628930438094
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Pressing for Reasoning,0.027017287484940884,0.3170861361032168,0.4247645837689726
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,None,0.008203662789139345,0.577535582610349,0.610114688415998
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Keeping Everyone Together,0.012397456657858135,0.36708431052705204,0.41683601123455943
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,0.03575109136041525,0.4404042779326557,0.5843717486910269
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Restating,0.029138268392874884,0.5434848254624498,0.6599622977209527
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Revoicing,0.01893206385037975,0.23772938374143962,0.3144115353859994
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Accuracy,0.011550293566146253,0.602561276332614,0.6487699415701533
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Reasoning,0.02602581752599644,0.33997679492954647,0.44162712511135843
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,None,0.007857449029950333,0.6287460159003968,0.6597802246049224
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Keeping Everyone Together,0.012568206295117998,0.3995065594527864,0.448429624765885
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,0.03348141901596562,0.5412144559037507,0.6697013857975394
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Restating,0.03025801126244728,0.5847070329255531,0.7031298788829696
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Revoicing,0.02306430401040315,0.32759931974442286,0.4203029070210753
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Accuracy,0.011239800023080834,0.6361265554577717,0.6790680733335708
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Reasoning,0.02639176962436739,0.34485532828663684,0.44439279829691464
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,None,0.008205637776356661,0.5776373993338514,0.6101706181836642
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Keeping Everyone Together,0.012482120412643585,0.35184025116102985,0.3994722683379673
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,0.03462428363052787,0.5389791468948132,0.6771192638229185
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Restating,0.03256807830858281,0.5651821307964854,0.6919882950492937
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Revoicing,0.027061417731685303,0.3392997752258725,0.44697156174725683
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Accuracy,0.012108329802553221,0.6340670823192858,0.6809262374442018
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Reasoning,0.029027850837187015,0.3482132988697913,0.4631866014392627
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,None,0.007935409502323533,0.5163431424845343,0.5481627781273858
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Keeping Everyone Together,0.010898586955263384,0.3021725047405321,0.34502697491793594
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Getting Students to Relate to Another's Ideas,0.029325737747544448,0.5785961495061605,0.6934868996856488
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Restating,0.028982202396152887,0.6597368732914948,0.7690974990895223
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Revoicing,0.02418471859117064,0.3443356713986526,0.43794620650067395
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Accuracy,0.010735980009731059,0.6263721453500365,0.668598669204705
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Reasoning,0.02566543068623794,0.3356294379294513,0.4356663982221566
TalkMoves_Teacher_FewShot_ALL,openai.o3,None,0.0078088668759919745,0.4941031855765973,0.5242101624728143
TalkMoves_Teacher_FewShot_ALL,openai.o3,Keeping Everyone Together,0.010770194035003249,0.2849066628900882,0.32791693019043067
TalkMoves_Teacher_FewShot_ALL,openai.o3,Getting Students to Relate to Another's Ideas,0.03206553433747211,0.5576256100593903,0.683087969997776
TalkMoves_Teacher_FewShot_ALL,openai.o3,Restating,0.03036813808106434,0.5050192842041084,0.6247966961453167
TalkMoves_Teacher_FewShot_ALL,openai.o3,Revoicing,0.0246244962334971,0.2912417794389079,0.3876453523617764
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Accuracy,0.012012717775463543,0.5560524901754518,0.6025352643458407
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Reasoning,0.019588596817654683,0.23106352412079634,0.3093499878827395
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,None,0.008592418463836255,0.5688925022420775,0.6026893854306762
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Keeping Everyone Together,0.010987466664868861,0.08956933166214302,0.13144889966336276
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,0.029497323235474507,0.59007910881399706,0.7032949868743695
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Restating,0.028291096725175085,0.609448878380048,0.7238108708289224
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Revoicing,0.02289255028608377,0.3058541486071854,0.3960589731936764
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Pressing for Accuracy,0.012047556809982422,0.6027069045193806,0.6490658352417453
