Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Keeping Everyone Together,1112,1125,0.8785900783289817,0.4726972510243798
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,114,133,0.9908616187989556,0.6836497963331184
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Revoicing,178,459,0.9495608829812485,0.3118603186267073
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Pressing for Reasoning,96,394,0.9641585568478519,0.3721701851327334
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Restating,109,173,0.9905055779729409,0.7117367382563772
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,None,7076,6055,0.8075572011772525,0.5942414547532491
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,138,0.9867084401405107,0.5170953018129765
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1431,1713,0.8456280262033609,0.3929546885696476
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1366,1165,0.920725339409475,0.6253636069451147
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,434,0.96829013576379,0.39026777788138206
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Revoicing,242,755,0.9338270198424001,0.27569901719429163
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Restating,138,273,0.9847147061615874,0.6013336577556329
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,None,7025,6162,0.8332855641540078,0.6450121723589467
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,156,156,0.9885353969618802,0.6095655871623311
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Keeping Everyone Together,1425,1604,0.8573612305340594,0.4240537854387159
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Accuracy,1359,1379,0.9222317760580874,0.6579703421734528
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Reasoning,124,460,0.9669437279067545,0.3962669588213869
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Revoicing,240,488,0.9577720454762587,0.373601493473367
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Restating,138,218,0.9881532435272762,0.645968832138052
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,None,6096,5174,0.80668572685287,0.5943142671741646
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,133,149,0.9881240378271388,0.6110094998799916
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Keeping Everyone Together,1230,1800,0.8253793710138553,0.3755617071434812
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Accuracy,1197,1103,0.9245656476797889,0.6586444299722175
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Reasoning,110,362,0.9698702441170002,0.40851723633711745
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Revoicing,213,332,0.9647020013195513,0.39370789802604167
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Restating,115,174,0.9884539256652738,0.631060226123254
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,None,7077,5387,0.7682012339819648,0.5327611690397652
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,175,0.9888941623160892,0.6409030192411593
