Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Keeping Everyone Together,2993,802,0.8508725307821774,0.06011928033395715
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Reasoning,278,1667,0.9377712817787226,0.2620600223907681
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,298,234,0.988927274337851,0.5245548529518798
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Accuracy,2977,1603,0.8985738329347152,0.4491585383110261
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Restating,291,461,0.9795376029763486,0.3757740859349813
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Revoicing,549,764,0.9583222606076712,0.2624499401896321
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,None,15495,17965,0.8129001350115413,0.5337024145490227
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Keeping Everyone Together,3021,502,0.8615478419929445,0.06249155599787306
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Reasoning,277,1275,0.9553155350376725,0.3255488643545043
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,296,236,0.9898959104568616,0.558864282673901
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Accuracy,3039,2374,0.9206045032881843,0.6189842497802248
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Restating,283,232,0.9850616262357911,0.32650159236634785
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Revoicing,550,377,0.9681634075170942,0.1957655592938544
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,None,15618,16836,0.8017063081695966,0.5301287176257875
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Keeping Everyone Together,3071,952,0.8519906928645294,0.08911385694012433
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Reasoning,280,1524,0.9460530851430541,0.2915452440973992
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Getting Students to Relate to Another's Ideas,306,337,0.9884091692519821,0.5757855468351842
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Accuracy,3076,2805,0.9061961392623233,0.5762487338745128
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Restating,295,182,0.9844450189589796,0.23577366294633387
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Revoicing,562,572,0.9622543950361944,0.20816933427391354
TalkMoves_Teacher_FewShot_ALL,openai.o3,None,15618,16378,0.8061958722909216,0.5481009562985562
TalkMoves_Teacher_FewShot_ALL,openai.o3,Keeping Everyone Together,3072,1213,0.8534620190443363,0.1420041652475675
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Reasoning,280,1760,0.9356284200094791,0.2520777053697992
