Prompt,Model,Code,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Accuracy,0.009136162642680334,0.407807495444248,0.4448403061620173
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Reasoning,0.012707656101649006,0.22020844211424306,0.2714066485016932
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,None,0.006417567665032443,0.4608459760316924,0.48539468623054166
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Keeping Everyone Together,0.0069919046916037,0.04628050574970787,0.07486444774298337
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,0.026701014880922264,0.47015454540193935,0.576533011432152
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Restating,0.02409875694683774,0.33012969877050297,0.42336005229042917
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Revoicing,0.016550408412554885,0.2290471948029251,0.29342571987142474
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Accuracy,0.009560788315227301,0.43072962713901053,0.467843118621253
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Reasoning,0.012649964741980543,0.23585792879976616,0.28576693440047174
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,None,0.006315321639586641,0.5212057360165179,0.546392232038192
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Keeping Everyone Together,0.0064534818403338984,0.04932933412849406,0.07404905500922182
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,0.025647520386948005,0.5069348257442611,0.6065345819573555
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Restating,0.027249626732109122,0.27090837593435085,0.38018921353706603
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Revoicing,0.017771431051840966,0.1594917942655675,0.2315390415971061
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Accuracy,0.007987031331126248,0.602455688108768,0.6343544635426481
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,Pressing for Reasoning,0.014763681595864463,0.29668434372087027,0.35484992796981263
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,None,0.0060035684683880375,0.5187184873475901,0.5416591765359385
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Keeping Everyone Together,0.007992789952813623,0.0726605890266261,0.10419882705335734
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Getting Students to Relate to Another's Ideas,0.02348556327492212,0.5309481159250582,0.6245853809946902
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Restating,0.026283317627297586,0.1843588135247693,0.28727158817750026
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Revoicing,0.016644555414193355,0.17652312581711221,0.2420012893395856
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Accuracy,0.008192421869931398,0.5598890618310065,0.5927665048740435
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Reasoning,0.013629013034477281,0.2631429184911528,0.31909618220799096
TalkMoves_Teacher_FewShot_ALL,openai.o3,None,0.005806418245012005,0.5364442244596084,0.5594516917269757
TalkMoves_Teacher_FewShot_ALL,openai.o3,Keeping Everyone Together,0.008642627819416533,0.12498100169299971,0.15885979121480703
TalkMoves_Teacher_FewShot_ALL,openai.o3,Getting Students to Relate to Another's Ideas,0.022950355068658543,0.5337414362300722,0.6232393395168471
TalkMoves_Teacher_FewShot_ALL,openai.o3,Restating,0.025190897184530922,0.21320122996435298,0.3154477525121812
TalkMoves_Teacher_FewShot_ALL,openai.o3,Revoicing,0.016612417677848417,0.18375859396971672,0.2487030985834126
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Accuracy,0.008211055604750802,0.5237927442583112,0.5555299413244247
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Reasoning,0.011931394216381638,0.22917530171378087,0.27468377311323094
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,None,0.006075508809648673,0.47592431750979,0.49922460763015974
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,0.007434818827229581,0.07219485758657447,0.10189322634808264
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,0.024862573420619198,0.48303352915994746,0.5811309489942995
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Restating,0.0225719519413854,0.28322435735565743,0.37437573777016614
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Revoicing,0.015951093345203504,0.17830891109640598,0.23976688651543218
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,0.009367935139385239,0.4123256811571192,0.45009966915053456
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,0.013087111754539632,0.2217943449581144,0.27465172383984854
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,None,0.006286627216049114,0.4611433681910374,0.4860432240365039
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Keeping Everyone Together,0.00671359884073437,0.03835608661259865,0.06511905604687535
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,0.02702951866616192,0.4702669540173847,0.5777104778439816
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Restating,0.02231865681887815,0.33038260817011805,0.4180787158446289
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Revoicing,0.016109222053252763,0.21272550552087258,0.2770372560113003
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Accuracy,0.009725587381336198,0.42789396216106534,0.4660954061142618
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Reasoning,0.012951206285040248,0.22886717766946757,0.2799290045092118
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,None,0.00611676043518084,0.5218582569028396,0.5455213309723631
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Keeping Everyone Together,0.006501039313995089,0.04961751524779584,0.07530348729651962
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,0.02492126661718196,0.5080247666912555,0.6056601915403607
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Restating,0.026338601863058416,0.27519171349511934,0.37892634224134164
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Revoicing,0.01730139929940418,0.16206975473416665,0.23062364259799356
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Accuracy,0.007959844783831887,0.6040023854881073,0.6347616514017634
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Reasoning,0.015523084500596149,0.29511519297469513,0.35508948333764234
TalkMoves_Teacher_OneShot,openai.gpt-5,None,0.0061223236905273756,0.5207838958804625,0.5451483674525195
TalkMoves_Teacher_OneShot,openai.gpt-5,Keeping Everyone Together,0.007813431305269855,0.09620586325677608,0.12704299435976382
TalkMoves_Teacher_OneShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,0.023034248053902896,0.5459466345529316,0.6337564286405275
TalkMoves_Teacher_OneShot,openai.gpt-5,Restating,0.024939670914954106,0.17930420151703946,0.2756666478091813
